id,s,g,o,note
498,"probably a small number like 7, 8, 9, 10, or something reasonable.

Wait, let me re-read the problem. ""A list of positive integers."" The mean is 8, median is 13, mode is 15, range is 27.

Hmm, mean=8 < median=13 < mode=15. This is unusual (usually mean < median < mode for left-skewed data, but here the mode is the highest of the three).

Range = 27. Max - min = 27.

Let me reconsider: maybe min doesn't have to be 1. The minimum just needs to be a positive integer. And max = min + 27.

For the mean to be 8, we need many small values. The smallest positive integer is 1.

But wait — what if the list has many small values AND the mode is 15? The mode being 15 means 15 appears more than any other single value. But we could have, say, 15 appearing 3 times and every other value appearing at most 2 times.

Let me reconsider n=7:
sum=56, median=4th element=13.
Mode=15 (≥2 times), range=27 (max-min=27).

If 15 appears 2 times, they must be in positions 5,6,7 (since 15>13).
Max must be ≥ 15. If max=15, range=27 → min=15-27=-12 (not positive). So max>15.
Max ≥ 28 (since min ≥ 1 and range=27).

Wait, actually max doesn't have to be 28. If min=1, max=28. If min=2, max=29. Etc.

But for minimum sum (mean=8 is small), we want min=1, max=28.

For n=7: a,b,c,13,d,e,f with a=1, some value=28.
15 appears 2 times. 28 appears once.
If d=15, e=15, f=28: sum = 1+b+c+13+15+15+28 = 72+b+c = 56 → b+c = -16. Impossible.

If e=15, f=15... but then max=15, range=27 → min=-12. Not positive.

So for n=7, impossible.

For n=8: sum=64.
Median=avg(a4,a5)=13.
Min=1, max=28, mode=15 (appears ≥2 times).
15s in positions 6,7,8 (or some subset), 28 in position 8.

1,b,c,d,e,15,15,28 where d+e=26, d≤e≤15.
d+e=26, e≤15 → d≥11.
Sum = 1+b+c+26+30+28 = 85+b+c = 64 → b+c = -21. Impossible.

For n=9: sum=72.
1,b,c,d,13,e,15,15,28 (mode=15 appears 2 times; 28 is max).
But wait, need 15 to",15,,
499,"36.9, 0.3225, 32.25, 2.149","36.9,0.3226,32.26,2.149","36.9,0.3225,32.25,2.150",
500,J,J,J,
501,F,F,F,
502,8/11,\frac{8}{11},\frac{8}{11},
503,"y = -43000x + 833000,\ \446{,}000,\ 2019","y=-43000x+833000,446000,2019","y=-43000x+833000,446000,2019",
504,"-\frac{3}{2},-\frac{3\sqrt{3}}{2}","-\frac32,-\frac{3\sqrt3}{2}","-\frac{3}{2},-\frac{3\sqrt{3}}{2}",
505,"1,3,6,-5,-4,2","1,3,6,-5,-4,2","1,3,6,-5,-4,2",
506,J,A,,
507,C,I,I,
508,\frac{n(n-1)}{2},\frac{n(n-1)}2,\frac{n(n-1)}2,
509,H,H,H,
510,2/3,\frac{3}{2},1,
511,I,I,I,
512,64p^2+64p+16,64p^2+64p+16,64p^2+64p+16,
513,"-1.41, 1.41, 1.75","-1.4051,1.4051,1.7507","-1.405,1.405,1.75",
514,I,I,I,
515,"-8, 1, 12, 19","-8, 1, 12, 19","-8, 1, 12, 19",
516,"7, -11, 4, 0","7,-11,4,0","7,-11,4,0",
517,E,E,E,
518,E,E,E,
519,"426.2, 5090, 98.33","427.5813419821836,5086.650065113366,46.42814040782384","426.272,5090.41,98.27",
520,44,44,44,
521,F,F,F,
522,"x = -0.472, \, 0.472","-0.472,\ 0.472","-0.472,\;0.472",
523,2097150,2097150,762,
524,I,E,H,
525,H,H,,
526,y = 128x^4 + 16x^2 + 4,y=128x^4+16x^2+4,y = 128x^{4} + 16x^{2} + 4,
527,"8, 700, x, 25000, 286","8,700,25000,\frac{2000}{7}","8,700,x,25000,2000/7",
528,"43185, 2069","43164,2069","43196,2070",
529,\frac{429}{20},\frac{429}{20},\frac{429}{20},
530,"8/9,7/9,5","8/9,7/9,5","8/9,7/9,5",
531,"C, D, F, H","C,\ D,\ F,\ H","C,D,F,H",
532,I,I,I,
533,0.0564,0.056,0.057 (approximately),
534,G,G,G,
535,"x=-4, x=-6","-4,\,-6","-4,\,-6",
536,E,E,E,
537,42,42,42,
538,E,A,E,
539,"4,5","7,8","4,5",
540,"A,B,C","A,B,A","A,B,C",
541,5,5,5,
542,"285, 8389.25, 91.59, A","285,\frac{59540}{9},\frac{\sqrt{59540}}{3},A","285,\frac{67114}{9},\frac{\sqrt{67114}}{3},A",
543,"\1.43,\0.54","\1.43,\0.54","\0.70,\0.54",
544,A,A. It is a power function.,A,
545,400000,400000,400000,
546,"92,126,146,72,172","92,126,146,72,172","92,126,146,72,172",
547,H,H,H,
548,"x + 0.20x = 144, \120.00","x+0.20x=144,\120.00","1.20x = 144,\120.00",
549,J,B,J,
550,J,"None of the listed options;  \iiint_E z\,dV=\frac{109}{450}",D,
551,\sqrt{28},\sqrt{28},2\sqrt7,
552,"36312, 33140","36332.24,33119.50","33141,36311",
553,"24, 1.6","24,\frac{8}{5}","24,1.6",
554,A,D,A,
555,"1.11, 0.1335","1.11,0.1335","1.11,0.133",
556,D,C,C and D,
557,5,5,5,
558,f(x) = 6.5x - 25,f(x)=\frac{13}{2}x-25,f(x)=\frac{13}{2}x-25,
559,-280,-280,-280,
560,"C, A, A","C,A,A","C,A,A",
561,E,E,E,
562,H,H,D,
563,20\%,20\%,20\%,
564,D,D,D,
565,"-7.006,-7.06,-7.6","-7.006,-7.06,-7.6","-7.006,-7.06,-7.6",
566,3,3,3,
567,"A,A","A,A","A,A",
568,"-10, 3","-10,3","-10,3",
569,B,B,B,
570,E,H,I,
571,B,F,E,
572,"8,-6,6,8","8,-6,6,8","8,-6,6,8",
573,\frac{17}{72},\frac{17}{72},\frac{17}{72},
574,CE,C and E,"C,E",
575,G,G,G,
576,"\frac{5}{2},\frac{1}{2}","\frac{5}{2},\frac{1}{2}","\frac{5}{2},\frac{1}{2}",
577,F,F,F,
578,"7.62, 9.00, 95.44","7.62,9.00,95.44","7.624,8.996,95.44",
579,C,C,C,
580,D,D,D,
581,F,F,F,
582,1035,1035,1035,
583,118,119,119,
584,"7z, 6w","7z,6w","7z,6w",
585,"-0.2235, 2.262, -2.262, No","-0.224,2.262,-2.262,No,fail to reject H_0","-0.235,2.228,-2.228",
586,"2.0, -2.0, 0.2, -0.1","1.0123,-0.5011,-0.0446,0.0016","1.89,-0.934,0.111,-0.0298",
587,"B,C,D,E,F,J \quad|\quad C \quad|\quad A,B,C \quad|\quad A,B","a: B,C,D,E,F,J,\ b: C,\ c: A,B,\ d: A","B,C,D,E,F,J,C,A,B,C,A,C",
588,E,E,E,
589,D,D,D,
590,D,D,D,
591,"2\cos(1),\ 2\sin(1),\ 2\sin(2),\ 2\cos(2),\ \sqrt{10},\ \arctan(3),\ \sqrt{17},\ \arctan(4)","2\cos(1),2\sin(1),2\sin(2),2\cos(2),\sqrt{10},-\arctan(1/3),\sqrt{17},\arctan(4)","\sqrt{10},-\arctan\!(\frac{1}{3}),\sqrt{17},\arctan 4",
592,I,I,I,
593,19.4,19.4,19.44,
594,F,F,F,
595,"A, D, E, G, probability","A,D,E,G,probability","A,D,E,G,probability",
596,G,G,G,
597,B,B,B,
598,G,G,F,
599,1.8123,1.81,1.81,
600,I,I,I,
601,"3s-1,2s+1","3s-1,2s+1,(3s-1)(2s+1)","2s+1,3s-1",
602,"-70.8, 0.719, 53.6","-\frac{791}{112},\frac{23}{32},\frac{1197}{28}","-\frac{7927}{112},\frac{23}{32},\frac{11999}{224}",
603,"C,A,B","C,A,B","C,A,B",
604,J,J,J,
605,45.6,45.6,45.6,
606,E,E,A,
607,"0,0,4,0,0,14,6,6,20,-6,-6,0,-4,-4,10,-4,-4,-12","(0,0,4),(0,0,14),(6,6,20),(-6,-6,0),(-4,-4,10),(-4,-4,-12)","0,0,4,0,0,14,6,6,20,-6,-6,0,-4,-4,10,-4,-4,-12",
608,"B,A,A,1981","B,A,A,1981","NO,YES,A,1967",
609,30\sqrt{85} = 276.6  miles,30\sqrt{85} miles,30\sqrt{85},
610,4\pi,4\pi,4\pi,
611,1.3560,1.356,\sqrt{\frac{57}{31}}= 1.36,
612,"68,81","68,81","68,81",
613,I,I,I,
614,I,I,D,
615,"14,9","14,9","14,9",
616,J,J,J,
617,"left, 7, up, 6","left,7,up,6","7,6",
618,A,A,A,
619,"-3.125, 0.002, A","-3.23,0.0012,A","-3.23,0.0013,A",
620,"1.5119, 2.2857, 2.167, B","\frac{4}{\sqrt7},\frac{16}{7},2.167,B","\frac{4}{\sqrt7},\frac{16}{7},2.167,B",
621,153-k,153-k,153 - k,
622,"3.855, 2.567, Yes","3.85,2.567,Yes","3.86,2.57,Yes",
623,"True,False,False,False,True,True","T,F,F,F,T,T","True,False,False,False,True,True",
624,F,F,F,
625,5(x+2)(x+3),5(x+2)(x+3),5(x+2)(x+3),
626,G,G,G,
627,\frac{32\pi}{3},\frac{163\sqrt{163}\pi}{6},\frac{163\pi\sqrt{163}}{6},
628,"76, 75.7, 75.67, 75.673","76,75.7,75.67,75.673","76,75.7,75.67,75.673",
629,515,17247,1526,
630,"71.981, 564.365","71.981,564.365","71.981,564.365",
631,A,A,A,
632,23,23,23,
633,"B,D,8","B,D,8","B,D,8",
634,109,109,109,
635,"37.6,\ 0.746,\ -25.4","37.6,0.746,-25.4\%","37.6,0.746,-25.4",
636,9901,990100,10101,
637,"A,B,F,C,D,E","A,B,F,C,D,E","A,B,F,C,D,E",
638,"0.151,(-infty, -1.751)U(1.751, infty),0.880,D","0.151,(-infty,-1.751)U(1.751,infty),0.880,D","0.151,(-infty, -1.75)U(1.75, infty),0.880,Do Not Reject H0",
639,3.325,3.325,3.325,
640,G,G,G,
641,"6.4,46.08","6.4,46.08,46.08","6.4,46.1",
642,"6,\,\pi/3,\,13","6,\frac{\pi}{3},13","6,\frac{\pi}{3},13",
643,"True, False, False, True, False","True,False,False,True,False","F,F,F,T,F",
644,B,D,A,
645,129n-11500,129n-11500,129n-11500,
646,B,A,A,
647,E,J,J,
648,"W=11.51+0.83x,\30.60","W=11.51+0.83x,30.60","11.51+0.83x,30.60",
649,300,300,1048575,
650,J,J,J,
651,"73  million,\ 73e^{0.45} = 114.49  million","73,\ 114.49","73,\;73e^{0.45}",
652,142,163,112,
653,"A=60\cdot4^{(4-t)/7},\quad 60\cdot4^{4/7}=132.5 mg,\quad 60\cdot4^{-2/7}=40.4 mg","-\frac{45}{7}t+\frac{600}{7},\frac{600}{7},\frac{330}{7}","A(t)=60\cdot4^{\frac{4-t}{7}},\;60\cdot2^{8/7},\;60\cdot2^{-4/7}",
654,"\sqrt{19},2,2,2","\sqrt{19},2,2,2","\sqrt{19},2,2,2",
655,S = 0.85L,S=0.85L,S = 0.85L,
656,6x^2 - 23x + 15,6x^2-23x+15,6x^{2}-23x+15,
657,"172.517, 187.483, 172.873, 187.127, 0, 5.1672, -10.334, 10.334","180-2\sqrt{14},180+2\sqrt{14},180-2\sqrt{12.7},180+2\sqrt{12.7},0,\sqrt{26.7},-2\sqrt{26.7},2\sqrt{26.7}","180-\frac{\sqrt{1400}}{5},\,180+\frac{\sqrt{1400}}{5},\,180-\frac{\sqrt{1270}}{5},\,180+\frac{\sqrt{1270}}{5},\,0,\,\sqrt{\frac{267}{10}},\,-2\sqrt{\frac{267}{10}},\,2\sqrt{\frac{267}{10}}",
658,A,A,A,
659,29.94,29.91,29.9 (approximately),
660,E,C,C,
661,"r=4+h/1000,\ w=2880/(4+h/1000)^2","r=4+\frac{h}{1000},w=\frac{2880}{(4+\frac{h}{1000})^2}","r=4+\frac{h}{1000},\;w=\frac{2880}{(4+\frac{h}{1000})^{2}}",
662,23,23,23,
663,F,F,F,
664,"\frac{83}{100},\frac{83}{99}","\frac{83}{100},\frac{83}{99}","\frac{83}{100},\frac{83}{99}",
665,B,B,B,
666,"76e^{0.4268t},\ 42.68","76e^{(\frac{\ln(419/76)}{4})t},million dollars,42.78","76e^{0.4268t},42.7",
667,H,H,H,
668,G,G,G,
669,H,H,H,
670,D,D,D,
671,"1.71,113.2","1.71,113.2","1.71,113.2",
672,D,D,D,
673,1166400,437400,2184840,
674,8x+7,8x+7,8x+7,
675,B,B,B,
676,"D,A,A","D,A,A","D,A,A",
677,F,F,F,
678,13960,13960,13960,
679,11,11,11 ft,
680,"0.035, 0.0525, 0.0775, A","0.035,0.0525,0.0775,A","0.035,0.0525,0.0775,concave\ up",
681,"28900, 170, 135, 205","28900,170,135,205","28900,170,135,205",
682,G,G,G,
683,-0.65,-0.65,-0.65,
684,-1.555,-1.55,-1.55,
685,C and D,C  and  D,"C,\ D",
686,D,D,D,
687,24500,24500,24500,
688,2055375,2051325,2053351,
689,"45,43","45,43","45,43",
690,E,H,H,
691,"(19.67, 26.99)","(19.67, 26.99)","(19.67,\;27.00)",
692,1.24,1.24,1.24,
693,"30, y=7.5, 5.5","30,\frac{15}{2},\frac{11}{2}","30,\frac{15}{2},\frac{11}{2}",
694,"C(x)=6750+9x,\ R(x)=36x,\ P(x)=27x-6750,\ 250","C(x)=6750+9x,\ R(x)=36x,\ P(x)=27x-6750,\ 250","6750+9x,36x,27x-6750,250",
695,E,E,E,
696,"x+8,-81","x+8,-8,-81","x+8,-81",
697,60,60,60,
698,-50.92,-50.92,-50.92,
699,"6,3","6,3","6,3",
700,F,F,F,
701,22,22,22,
702,-u^4 - 4u^3 + 3u^2 - 6u - 8,-u^4-4u^3+3u^2-6u-8,-u^{4}-4u^{3}+3u^{2}-6u-8,
703,B,E,B,
704,"3.65, 1.645, B","3.65,1.645,B","3.65,1.645,B",
705,"True,False,False,True","True,False,False,True","True,False,False,True",
706,2047.28,2034.29,2047.23,
707,"5200,2600","5200,2600","5200,2600",
708,"-\frac{9}{2},\frac{9}{2},-\frac{81}{4}","-\frac{9}{2},\frac{9}{2},-\frac{81}{4}","-4.5,4.5,-20.25",
709,E,E,E,
710,"x = 2\pi - \arccos\!(\frac{1}{8}) - 3,\quad x = 2\pi + \arccos\!(\frac{1}{8}) - 3","2\pi-\arccos\!(\frac18)-3,\;2\pi+\arccos\!(\frac18)-3","2\pi-3-\arccos\frac18,\;2\pi-3+\arccos\frac18",
711,A,C,D,
712,"D,D,A","D,D,A","D,D,A",
713,"-3, not real","-3,not real","-3,not real",
714,A,\84.00,84,
715,"5, 7, 9, 13,\ 8.5,\ 6, 7, 8, 9, 10, 11,\ 8.5","5,7,9,13,\frac{17}{2},6,7,9,8,10,11,\frac{17}{2}","5,7,9,13,8.5,6,7,8,9,10,11,8.5",
716,0.5758,\frac{19}{33},\frac{19}{33},
717,7992,7992,7992,
718,"65761800, 72704000, median","66206244.\overline{4},72704000,median","65761800,72704000,median",
719,E,E,E,
720,D,D,D,
721,"D,A,A","C,A,A","A,C,A",
722,2051325,2079444975,2051325,
723,"-\frac{\sqrt{3}}{2},-\frac{\sqrt{2}}{2}","-\frac{\sqrt3}{2},-\frac{\sqrt2}{2}","-\frac{\sqrt3}{2},-\frac{\sqrt2}{2}",
724,\frac{3\sqrt{3}}{2},2,2,
725,"41.302, 13.277, A","41.300,13.277,A","41.30,13.28,Yes",
726,"7,48","7,48","7,48",
727,A,A,A,
728,80000,80000,80000,
729,G,G,G,
730,I,I,I,
731,J,J,J,
732,H,H,H,
733,"68,247,97,17","68,247,97,17","68,247,97,17",
734,"4830, 4.830","4830,4.83","4830,4.83",
735,"28, 42.5, 55, -29, 82, 27, A","28,42.5,55,-29,82,27,A","28,42.5,55,-29,82,27,True",
736,sqrt(30)/2,sqrt(30)/2,sqrt(30)/2,
737,2140,2140,2140,
738,"A,C,A,A","A,C,A,A","A,C,A,A",
739,U = \frac{Q}{1-Z},\frac{Q}{1-Z},\displaystyle U=\frac{Q}{1-Z},
740,\frac{5184}{81\cos^2 t - 64\sin^2 t},\frac{5184}{81\cos^2(t)-64\sin^2(t)},"\displaystyle r^{2}= \frac{5184}{\,81\cos^{2}t-64\sin^{2}t\,}",
741,H,H,H,
742,241.0,241.0,241.0,
743,430,430,430,
744,"26.875, 32.1875","26.875,32.1875","26.875,32.1875",
745,"2\sin(C)\cos(C),\ -\cos(C),\ \frac{2\tan(C)}{1-\tan^2(C)},\ \sin(A)\cos(B)-\cos(A)\sin(B),\ \sin(C),\ \cos(A)\cos(B)+\sin(A)\sin(B),\ \frac{\sin(x)}{1+\cos(x)},\ \cos^2(C)-\sin^2(C)","2\sin C\cos C,\cos A\cos B-\sin A\sin B,\frac{2\tan C}{1-\tan^2 C},\sin A\cos B-\cos A\sin B,\sin A\cos B+\cos A\sin B,\cos A\cos B+\sin A\sin B,\frac{\sin x}{1+\cos x},\cos^2 C-\sin^2 C","2\sin C\cos C,\;\cos A\cos B-\sin A\sin B,\;\frac{2\tan C}{1-\tan^{2}C},\;\sin A\cos B-\cos A\sin B,\;\sin A\cos B+\cos A\sin B,\;\cos A\cos B+\sin A\sin B,\;\frac{\sin x}{1+\cos x},\;\cos^{2}C-\sin^{2}C",
746,"17417,30856,808694,103863,876259,924095,21108","17417,30856,808694,103863,876259,924095,21108","17417,30856,808694,103863,876259,924095,21108",
747,A,A,A,
748,"222.51, 186.49, 79.43, 66.57, 50.05, 41.95, 31.01, 25.99, 20.789, 3, 11.345, B","222.45,186.55,79.43,66.57,50.04,41.96,31.01,25.99,20.81,3,11.345,B","20.80,3,11.34,B",
749,"5{,}5{,}5{,}5{,}5,\ is,\ 14/9{,}19/14{,}24/19{,}29/24{,}34/29,\ is not,\ 5n+9,\ (-1)^{n+1}(5n+9)","5,5,5,5,5,is,14/9,19/14,24/19,29/24,34/29,is not,9+5n,(-1)^{n+1}(9+5n)","5,5,5,5,5, is, 14/9,19/14,24/19,29/24,34/29, is not, 9+5n, (-1)^{n+1}(5n+9)",
750,"36.98, \ln(0.95)= -0.0513, C{,}E","36.98\%,\ln(0.95),C,E","36.98\%,\ln(0.95),C,E",
751,45,31,31,
752,D,D,D,
753,"A, 0.246, A  and  B, 16.6","A,0.246,A,16.6","A,0.25,A,16.7",
754,60x^2+65x,60x^2+65x,60x^{2}+65x,
755,F,F,F,
756,"109.27  feet, 520.16  feet","109.27 ft,520.16 ft","109.27 ft,520.16 ft",
757,C,C. Kevin\ only,C,
758,C,C,C,
759,C,C. normal distribution,C,
760,I,D,I,
761,5f(n-1)+4,f(n)=5f(n-1)+4,5 f(n-1)+4,
762,2x(55x+21),110x^2+42x,2x(55x+21),
763,"4+9, 8\div3","4+9,\frac{8}{3}","9+4,8/3",
764,\frac{(a+b)(a-b)^4}{c^5},\frac{(a+b)(a-b)^4}{c^5},\frac{(a+b)(a-b)^4}{c^5},
765,A,A,A,
766,"4.3750, 7.3333, 11.4286","4.3750,7.3333,11.4286","4.3750,7.3333,11.4286",
767,D,D,D,
768,G,G,G,
769,1620,1620,1620,
770,"3,4,1,3,2,1,2,2,0.5,2","3,4,1,3,2,1,2,2,\frac12,2","3,4,1,3,2,1,2,2,\frac12,2",
771,2,2,2,
772,H,H,H,
773,\frac{3a-14}{3},\frac{3a-14}{3},\frac{3a-14}{3},
774,"24, 28, 33, 39, 42","24,28,33,39,42","24,28,33,39,42",
775,6\sin(x-7)-6,y=6\sin(x-7)-6,y = 6\sin(x-7) - 6,
776,A,17\frac{1}{2},A,
777,8,8,8,
778,I,I,I,
779,F,F,A,
780,3t^{14}+6t^{12}+9t^{10},3t^{14}+6t^{12}+9t^{10},3t^{14}+6t^{12}+9t^{10},
781,sqrt(15)/8,sqrt(15)/8,\frac{\sqrt{15}}{8},
782,-1517,-1517,-1517,
783,H,H,H,
784,\frac{17}{60},\frac{17}{60},\frac{17}{60},
785,"False,True,False,False","False,True,False,False","F,T,F,F",
786,"indeed C and there's a subtlety I'm missing.

Actually, wait. Let me reconsider the problem. The problem says $X$ consists of ""a sequence of ones immediately followed by a sequence of zeros (either sequence may be empty)."" 

If the sequence of ones is empty and the sequence of zeros is non-empty, we get a number like $000...0$, which is not a valid positive integer (it's 0 or has leading zeros). So we need $a \geq 1$.

If the sequence of zeros is empty and the sequence of ones is non-empty, we get $R_a$. For this to be divisible by $505000$, we need $2^3 \cdot",C,"31\,877\,493\,753",
787,"148{,}165{,}614, \ 42, \ 47","16446944,\ 41.56,\ 46.92","147368000,41.6,46.9",
788,A,A,A,
789,"8,8,-8,-8","8,8,-8,-8","8,8,-8,-8",
790,-20x^2+45x-25=0,-20x^2+45x-25=0,-20x^2+45x-25=0,
791,F,F,F,
792,t = \frac{\ln(V/T)}{\ln(h/g)},\frac{\log(V/T)}{\log(h/g)},\displaystyle \frac{\ln(V/T)}{\ln(h/g)},
793,"1.353,(1.476, inf),0.0880,D","1.35,(1.48,\inf),0.0885,D","1.35,(1.5, inf),0.09,Do Not Reject H0",
794,"4.47,4","4.47,4","4.47,4",
795,"450, 2, 6","450,2,6","450,2,6",
796,F,F,F,
797,C,C,C,
798,"245275949/62500, EXTRANEOUS","no real solution,EXTRANEOUS","\frac{245274949}{62500},EXTRANEOUS",
799,8096,8100,8096,
800,140,140,140,
801,G,A,G,
802,26/7,\frac{26}{7},\frac{26}{7},
803,124,124,124,
804,F,F,F,
805,A,J,A,
806,"-\frac{\sqrt{869}}{45},\ -\frac{34}{45},\ \frac{\sqrt{869}}{34},\ \frac{34\sqrt{869}}{869},\ -\frac{45}{34},\ -\frac{45\sqrt{869}}{869}","-\frac{\sqrt{869}}{45},-\frac{34}{45},\frac{\sqrt{869}}{34},\frac{34}{\sqrt{869}},-\frac{45}{34},-\frac{45}{\sqrt{869}}","-\frac{\sqrt{869}}{45},-\frac{34}{45},\frac{\sqrt{869}}{34},\frac{34\sqrt{869}}{869},-\frac{45}{34},-\frac{45\sqrt{869}}{869}",
807,E,E,E,
808,D,B,D,
809,1540,1130,491,
810,F,None of the above,E,
811,1.336 \times 10^{-19},1.336 \times 10^{-19},1.34\times10^{-19}\ grams,
812,\frac{512}{\sin^6(2t)} = r^{12},r^{12}\sin^6 t\cos^6 t=8,"r^{12}=512\,\csc^{6}(2t)",
813,"A,C","A,C","A,C",
814,"5, 4.7256, 0.9451, 1.224, 30, 23.1567, 0.7719, 35, 27.8822","5,3.1636,0.6327,0.9293,30,20.4244,0.6808,35,23.5881","5,4.73,0.95,1.22,30,23.16,0.77,35,27.88",
815,H,H,H,
816,"8.7, 10.53","8.7,10.5333\ldots","8.7,\;\frac{158}{15}",
817,\frac{88}{21},\frac{88}{21},\frac{88}{21},
818,"6b+5a,ab","6b+5a,ab","6b+5a,ab",
819,E,E,E,
820,15,15,15,
821,"C,A,A,A","C,A,A,A","C,A,A,A",
822,200,\frac{700\pi}{11},\frac{700\pi}{11} miles per hour,
823,230,501,1436,
824,C,C,C,
825,D,D,D,
826,1800,1800,1800,
827,H,H,H,
828,"99.63, 110.37","99.63,\mu,110.37","99.63,110.37",
829,8464,8464,8464,
830,9.22,\frac{44\pi}{15},\frac{44\pi}{15},
831,E,E,E,
832,J,J,J,
833,"-19/3, 3/4, 48/6, 40/3","-19/3,3/4,48/6,40/3","-19/3, 3/4, 48/6, 40/3",
834,"\frac{\pi}{4},\,\frac{3\pi}{2},\,-\frac{19\pi}{6}","\frac{\pi}{4},\frac{3\pi}{2},-\frac{19\pi}{6}","\frac{\pi}{4},\frac{3\pi}{2},-\frac{19\pi}{6}",
835,126,126,126,
836,15,2025,2025,
837,D,D,D,
838,"(23.66, 28.34)","(23.66, 28.34)","(23.66,\;28.34)",
839,G,G,G,
840,F,F,F,
841,"\sin(40+8\sqrt{x}),\ 5+\sqrt{\sin(8x)}","\sin(40+8\sqrt{x}),5+\sqrt{\sin(8x)}","\sin(40+8\sqrt{x}),\;5+\sqrt{\sin(8x)}",
842,"65.47, 1.552, 6.051, 1.833, B","65.47,1.50,6.26,1.833,B","65.47,1.55,6.05,1.83,B",
843,"2y,10","2y,10",(2y)^{10},
844,J,J,E,
845,5,5,5,
846,"3,1,2,3,-2","3,1,2,3,-2","3,1,2,3,-2",
847,H,H,H,
848,E,E,E,
849,4(n+1),4(n+1),4(n+1),
850,C,C,C,
851,B  and  C,B  and  C,"B,\ C",
852,414.72,414.72,\frac{10368}{25},
853,C,C,C,
854,"-47/8,-47/6","-\frac{47}{8},-\frac{47}{6}","-\frac{47}{8},-\frac{47}{6}",
855,"20000,2000","20000,2000","20000,2000",
856,H,D,D,
857,"A, 0.8974, 0.9146, A, 0.9024, 0.9212","A,0.8967,0.9153,A,0.8996,0.9222","A,0.897,0.915,A,0.902,0.922",
858,"2.300, 1.691, Yes","2.30,1.691,Yes","2.30,2.03,Yes",
859,"1,2,2,4","1,2,2,4","1,2,2,4",
860,22,22,22,
861,G,G,G,
862,I,I,I,
863,\frac{1}{t^{69}},\frac{1}{t^{69}},\frac{1}{t^{69}},
864,"11.67, 25","\frac{35}{3},25","\frac{35}{3},25",
865,\frac{7}{x} - 8,\frac{7}{x}-8,\frac{7}{x} - 8,
866,H,H,H,
867,E,E,E,
868,B,No listed option; correct value is 96,E,
869,"20.5,\ \frac{x+y+xy}{2}","\frac{41}{2},\frac{x+y+xy}{2}","41/2,\,(x+y+xy)/2",
870,D,D,D,
871,G,G,G,
872,"infinity, 0","infinity,0","infinity,0",
873,A,A,G,
874,J,J,J,
875,C,C,C,
876,C,C,C,
877,F,F,F,
878,I,I,I,
879,H,H,H,
880,"\frac{35}{37},\frac{35}{12}","\frac{35}{37},\frac{35}{12}","\frac{35}{37},\frac{35}{12}",
881,D,D,D,
882,"1200,3600","1200,3600","1200,3600",
883,656,657,656 ft,
884,g(x)=(x-59)^2+74,(x-59)^2+74,(x-59)^{2}+74,
885,"18, 139.875, 18, B","18,139.875,18,B","18,\frac{1119}{8},18,B",
886,"A,C","A,C","A,C",
887,I,I,I,
888,I,I,I,
889,"5, 4y","5,4y","5,4y",
890,"A,A,C,6","A,A,C,6","A,A,C,6",
891,A,A,A,
892,69.65,69.65,69.65,
893,"A,C","A,C","A,C",
894,"0.023, 1.484, 2.013, -0.109, 0.301, -0.118, 0.294, 10","0.027,0.465,2.013,-0.131,0.231,-0.133,0.228,10","0.008,1.781,2.013,-0.091,0.283,-0.101,0.273,10",
895,g(x)=35\sqrt{14}(\frac{2}{7})^{x/20},70(\frac{2}{7})^{\frac{x-10}{20}},g(x)=35\sqrt{14}(\frac{2}{7})^{\frac{x}{20}},
896,"False,True,False,False,True,True,False,True","False,True,False,False,True,True,False,True","False,True,False,False,True,True,False,True",
897,84.875,84.875,84.875,
898,48,48,48,
899,D,D,D,
900,"1200,3600","1200,3600","1200,3600",
901,H,H,B,
902,"3,2","9,6","3,2",
903,"A,C","A,C","A,C",
904,A,A,A,
905,"B,C","B,C","B,C",
906,"x=2, x=5","x=2,\ x=5","x=2, x=5",
907,152,450,120,
908,"100(0.83)^t,\ 39.390","100(0.83)^t,100(0.83)^5,39.390","100(0.83)^t,39.390",
909,1520,1520,1520,
910,"1134,16","1134,16","1134,16",
911,A,J,I,
912,6013,6013,6012 ft (approximately),
913,G,G,G,
914,"0.190, 0.247","0.1901,0.2474","0.190,0.247",
915,-2,-2,-2,
916,"3\sqrt{2},\ 6\sqrt{2},\ 18","3\sqrt{2},6\sqrt{2},18","3\sqrt{2},6\sqrt{2},18",
917,"189.8, 246.4, 43","189.8,246.4,43","189.8,246.4,43",
918,C,E,C,
919,\frac{3875}{12012},\frac{3875}{12012},\frac{3875}{12012},
920,178,178,178,
921,D,D,D,
922,B,B,B,
923,"y=-6.2x+297.6,\ 93,\ 48","y=-6.2x+297.6,93,48","y = -6.2x + 297.6,93,48",
924,"n = 55 + 0.2t, \quad 2010","n=55+0.2t,2010","n=55+0.2t,2010",
925,276,266,276,
926,2-6t-3t^2,-3t^2-6t+2,-3t^{2}-6t+2,
927,"False, True, True, True, False, False","False,True,True,True,False,False","False,True,True,True,False,False",
928,E,E,E,
929,"6.086, (-0.72, 3.12), A","6.086,(-0.72,3.12),A","6.086,(-0.72,3.12),A",
930,E,E,E,
931,"3,-3","3,-3","3,-3",
932,26,26,26,
933,E,E,E,
934,J,J,G,
935,H,H,H,
936,\frac{275}{16},\frac{275}{16},\frac{275}{16},
937,640,640,640,
